Date,Transaction Details,Type,Amount
2024-08-01,Fuel,Debit,935.57
2024-08-02,Electricity Bill,Credit,418.75
2024-08-03,Loan Payment,Credit,4749.54
2024-08-04,Gift Received,Credit,4831.6
2024-08-05,Insurance Payment,Debit,4061.15
2024-08-06,Subscription,Credit,1592.61
2024-08-07,Loan Payment,Debit,578.59
2024-08-08,Grocery Purchase,Debit,3452.74
2024-08-09,Fuel,Debit,2256.75
2024-08-10,Travel Booking,Debit,697.99
2024-08-11,Mobile Recharge,Debit,2526.37
2024-08-12,Fuel,Credit,268.5
2024-08-13,Insurance Payment,Credit,4555.67
2024-08-14,Insurance Payment,Credit,1368.02
2024-08-15,Subscription,Credit,3346.36
2024-08-16,Grocery Purchase,Credit,1627.38
2024-08-17,Electricity Bill,Debit,2648.33
2024-08-18,Subscription,Credit,2778.88
2024-08-19,Subscription,Credit,1005.79
2024-08-20,Mobile Recharge,Debit,4850.96
2024-08-21,Dining,Credit,3898.15
2024-08-22,Grocery Purchase,Debit,4703.54
2024-08-23,Received from XYZ Ltd,Credit,4484.65
2024-08-24,Subscription,Debit,3029.71
2024-08-25,Received from DEF Ltd,Credit,4617.18
2024-08-26,Rent Payment,Credit,533.61
2024-08-27,Dining,Debit,1060.32
2024-08-28,Received from XYZ Ltd,Debit,321.61
2024-08-29,Paid to Online Store,Debit,1694.12
2024-08-30,Received from DEF Ltd,Debit,2004.52
2024-08-31,Grocery Purchase,Debit,1429.61
